Liga,Temporada,Fecha y Hora,Estado,Equipo Local,Goles Local,Equipo Visitante,Goles Visitante,Tiros al Arco Local,Tiros al Arco Visitante,Tiros Totales Local,Tiros Totales Visitante,Posesión Local (%),Posesión Visitante (%),Tiros de Esquina Local,Tiros de Esquina Visitante,Faltas Local,Faltas Visitante,Pases Completos Local,Pases Completos Visitante
Premier League,2020,2021-03-04T18:00:00+00:00,Match Finished,West Brom,0,Everton,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-03-04T20:15:00+00:00,Match Finished,Liverpool,0,Chelsea,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-03-06T12:30:00+00:00,Match Finished,Burnley,1,Arsenal,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-03-06T15:00:00+00:00,Match Finished,Sheffield Utd,0,Southampton,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-03-06T17:30:00+00:00,Match Finished,Aston Villa,0,Wolves,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-03-06T20:00:00+00:00,Match Finished,Brighton,1,Leicester,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-03-07T12:00:00+00:00,Match Finished,West Brom,0,Newcastle,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-03-07T14:00:00+00:00,Match Finished,Liverpool,0,Fulham,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-03-07T16:30:00+00:00,Match Finished,Manchester City,0,Manchester United,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-03-07T19:15:00+00:00,Match Finished,Tottenham,4,Crystal Palace,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-03-08T18:00:00+00:00,Match Finished,Chelsea,2,Everton,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-03-08T20:00:00+00:00,Match Finished,West Ham,2,Leeds,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-03-10T18:00:00+00:00,Match Finished,Manchester City,5,Southampton,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-03-12T20:00:00+00:00,Match Finished,Newcastle,1,Aston Villa,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-03-13T12:30:00+00:00,Match Finished,Leeds,0,Chelsea,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-03-13T15:00:00+00:00,Match Finished,Crystal Palace,1,West Brom,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-03-13T17:30:00+00:00,Match Finished,Everton,1,Burnley,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-03-13T20:00:00+00:00,Match Finished,Fulham,0,Manchester City,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-03-14T12:00:00+00:00,Match Finished,Southampton,1,Brighton,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-03-14T14:00:00+00:00,Match Finished,Leicester,5,Sheffield Utd,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-03-14T16:30:00+00:00,Match Finished,Arsenal,2,Tottenham,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-03-14T19:15:00+00:00,Match Finished,Manchester United,1,West Ham,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-03-15T20:00:00+00:00,Match Finished,Wolves,0,Liverpool,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-03-19T20:00:00+00:00,Match Finished,Fulham,1,Leeds,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-03-20T20:00:00+00:00,Match Finished,Brighton,3,Newcastle,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-03-21T15:00:00+00:00,Match Finished,West Ham,3,Arsenal,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-03-21T19:30:00+00:00,Match Finished,Aston Villa,0,Tottenham,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-04-03T11:30:00+00:00,Match Finished,Chelsea,2,West Brom,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-04-03T14:00:00+00:00,Match Finished,Leeds,2,Sheffield Utd,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-04-03T16:30:00+00:00,Match Finished,Leicester,0,Manchester City,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
